c:\xampp\mysql\bin\mysqld.exe, Version: 10.4.28-MariaDB-log (mariadb.org binary distribution). started with:
TCP Port: 3306, Named Pipe: C:/xampp/mysql/mysql.sock
Time		    Id Command	Argument
		    69 Query	SELECT * FROM branches WHERE branch_id= '4'
		    69 Query	SELECT * FROM compani WHERE comp_id= '9'
		    69 Query	SELECT * FROM branches WHERE branch_id= '2'
		    69 Query	SELECT * FROM compani WHERE comp_id= '10'
		    69 Query	SELECT * FROM branches WHERE branch_id= '4'
		    69 Query	SELECT * FROM compani WHERE comp_id= '9'
		    69 Query	SELECT * FROM branches WHERE branch_id= '2'
		    69 Query	SELECT * FROM compani WHERE comp_id= '9'
		    69 Query	SELECT * FROM branches WHERE branch_id= '2'
		    69 Quit	
241213 15:10:39	    70 Connect	root@localhost as anonymous on catmarketing
		    70 Query	SELECT * FROM register WHERE email = 'uniqueuser843@gmail.com'
		    70 Query	SELECT comp_id, comp_name, acc_desc FROM compani
		    70 Quit	
241213 15:10:42	    71 Connect	root@localhost as anonymous on catmarketing
		    71 Query	SELECT branch_id, branch_name FROM branches WHERE comp_id_fk = '10'
		    71 Quit	
241213 15:10:43	    72 Connect	root@localhost as anonymous on catmarketing
		    72 Query	SELECT dept_id, dept_name FROM departments WHERE branch_id_fk = '4'
		    72 Quit	
241213 15:10:50	    73 Connect	root@localhost as anonymous on catmarketing
		    73 Query	SELECT * FROM register WHERE email = 'uniqueuser843@gmail.com'
		    73 Query	SELECT * FROM box WHERE barcode = '42132132'
		    73 Query	INSERT INTO box (comp_id_fk, branch_id_fk, dept_id_fk, object, barcode, alt_code, box_desc, status) 
            VALUES ('10', '4', '3','FileFolder',  '42132132', '21321321', '', 'In')
		    73 Quit	
		    74 Connect	root@localhost as anonymous on catmarketing
		    74 Query	SELECT * FROM register WHERE email = 'uniqueuser843@gmail.com'
		    74 Query	SELECT comp_id, comp_name, acc_desc FROM compani
		    74 Quit	
241213 15:10:53	    75 Connect	root@localhost as anonymous on catmarketing
		    75 Query	SELECT * FROM register WHERE email = 'uniqueuser843@gmail.com'
		    76 Connect	root@localhost as anonymous on catmarketing
		    75 Quit	
		    76 Query	SELECT * FROM box ORDER BY box_id DESC
		    76 Query	SELECT * FROM compani WHERE comp_id= '10'
		    76 Query	SELECT * FROM branches WHERE branch_id= '4'
		    76 Query	SELECT * FROM compani WHERE comp_id= '10'
		    76 Query	SELECT * FROM branches WHERE branch_id= '4'
		    76 Query	SELECT * FROM compani WHERE comp_id= '10'
		    76 Query	SELECT * FROM branches WHERE branch_id= '4'
		    76 Query	SELECT * FROM compani WHERE comp_id= '10'
		    76 Query	SELECT * FROM branches WHERE branch_id= '4'
		    76 Query	SELECT * FROM compani WHERE comp_id= '9'
		    76 Query	SELECT * FROM branches WHERE branch_id= '2'
		    76 Query	SELECT * FROM compani WHERE comp_id= '10'
		    76 Query	SELECT * FROM branches WHERE branch_id= '4'
		    76 Query	SELECT * FROM compani WHERE comp_id= '9'
		    76 Query	SELECT * FROM branches WHERE branch_id= '2'
		    76 Query	SELECT * FROM compani WHERE comp_id= '9'
		    76 Query	SELECT * FROM branches WHERE branch_id= '2'
		    76 Quit	
241213 15:13:39	    77 Connect	pma@localhost as anonymous on 
		    78 Connect	root@localhost as anonymous on 
		    78 Query	SELECT @@version, @@version_comment
		    78 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    78 Query	SET lc_messages = 'en_GB'
		    77 Query	SHOW TABLES FROM `phpmyadmin`
		    77 Init DB	phpmyadmin
		    77 Query	SHOW TABLES FROM `phpmyadmin`
		    77 Query	SELECT NULL FROM `pma__table_info` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__table_coords` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__pdf_pages` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__column_info` LIMIT 0
		    77 Query	SHOW COLUMNS FROM `phpmyadmin`.`pma__column_info` WHERE Field IN ('input_transformation', 'input_transformation_options')
		    77 Query	SELECT NULL FROM `pma__users` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__usergroups` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__export_templates` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__designer_settings` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__central_columns` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__savedsearches` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__navigationhiding` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__bookmark` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__userconfig` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__tracking` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__table_uiprefs` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__favorite` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__recent` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__history` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__relation` LIMIT 0
		    77 Query	SELECT `tables` FROM `phpmyadmin`.`pma__favorite` WHERE `username` = 'root'
		    77 Query	SELECT `tables` FROM `phpmyadmin`.`pma__recent` WHERE `username` = 'root'
		    77 Query	SELECT `config_data`, UNIX_TIMESTAMP(`timevalue`) ts FROM `phpmyadmin`.`pma__userconfig` WHERE `username` = 'root'
		    78 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    77 Query	SHOW TABLES FROM `phpmyadmin`
		    77 Init DB	phpmyadmin
		    77 Query	SHOW TABLES FROM `phpmyadmin`
		    77 Init DB	phpmyadmin
		    77 Query	SHOW TABLES FROM `phpmyadmin`
		    77 Query	SELECT NULL FROM `pma__table_info` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__table_coords` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__pdf_pages` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__column_info` LIMIT 0
		    77 Query	SHOW COLUMNS FROM `phpmyadmin`.`pma__column_info` WHERE Field IN ('input_transformation', 'input_transformation_options')
		    77 Query	SELECT NULL FROM `pma__users` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__usergroups` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__export_templates` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__designer_settings` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__central_columns` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__savedsearches` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__navigationhiding` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__bookmark` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__userconfig` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__tracking` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__table_uiprefs` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__favorite` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__recent` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__history` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__relation` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__table_info` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__table_coords` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__pdf_pages` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__column_info` LIMIT 0
		    77 Query	SHOW COLUMNS FROM `phpmyadmin`.`pma__column_info` WHERE Field IN ('input_transformation', 'input_transformation_options')
		    77 Query	SELECT NULL FROM `pma__users` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__usergroups` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__export_templates` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__designer_settings` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__central_columns` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__savedsearches` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__navigationhiding` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__bookmark` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__userconfig` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__tracking` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__table_uiprefs` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__favorite` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__recent` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__history` LIMIT 0
		    77 Query	SELECT NULL FROM `pma__relation` LIMIT 0
		    77 Query	SELECT `tables` FROM `phpmyadmin`.`pma__favorite` WHERE `username` = 'root'
		    77 Query	SELECT `tables` FROM `phpmyadmin`.`pma__recent` WHERE `username` = 'root'
		    78 Init DB	catmarketing
		    77 Query	SELECT * FROM `phpmyadmin`.`pma__bookmark` WHERE ( `user` = '' OR `user` = 'root' ) AND dbase = 'catmarketing' ORDER BY label ASC
		    78 Query	SHOW SESSION VARIABLES LIKE 'FOREIGN_KEY_CHECKS'
		    77 Query	SELECT `comment` FROM `phpmyadmin`.`pma__column_info` WHERE db_name = 'catmarketing' AND table_name  = '' AND column_name = '(db_comment)'
		    78 Query	SHOW TABLES FROM `catmarketing`
		    78 Query	SELECT 1 FROM mysql.user LIMIT 1
		    78 Query	SELECT CURRENT_USER()
		    78 Query	SELECT 1 FROM (SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`COLUMN_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`TABLE_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`SCHEMA_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES`) t WHERE `IS_GRANTABLE` = 'YES' AND '''root''@''localhost''' LIKE `GRANTEE` LIMIT 1
		    78 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''localhost''' AND PRIVILEGE_TYPE='EVENT'
		    78 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''localhost''' AND PRIVILEGE_TYPE='TRIGGER'
		    78 Quit	
		    77 Quit	
		    79 Connect	pma@localhost as anonymous on 
		    80 Connect	root@localhost as anonymous on 
		    80 Query	SELECT @@version, @@version_comment
		    80 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    80 Query	SET lc_messages = 'en_GB'
		    79 Query	SHOW TABLES FROM `phpmyadmin`
		    79 Init DB	phpmyadmin
		    79 Query	SHOW TABLES FROM `phpmyadmin`
		    79 Query	SELECT NULL FROM `pma__table_info` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__table_coords` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__pdf_pages` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__column_info` LIMIT 0
		    79 Query	SHOW COLUMNS FROM `phpmyadmin`.`pma__column_info` WHERE Field IN ('input_transformation', 'input_transformation_options')
		    79 Query	SELECT NULL FROM `pma__users` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__usergroups` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__export_templates` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__designer_settings` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__central_columns` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__savedsearches` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__navigationhiding` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__bookmark` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__userconfig` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__tracking` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__table_uiprefs` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__favorite` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__recent` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__history` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__relation` LIMIT 0
		    79 Query	SELECT `tables` FROM `phpmyadmin`.`pma__favorite` WHERE `username` = 'root'
		    79 Query	SELECT `tables` FROM `phpmyadmin`.`pma__recent` WHERE `username` = 'root'
		    79 Query	SELECT `config_data`, UNIX_TIMESTAMP(`timevalue`) ts FROM `phpmyadmin`.`pma__userconfig` WHERE `username` = 'root'
		    80 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    79 Query	SHOW TABLES FROM `phpmyadmin`
		    79 Init DB	phpmyadmin
		    79 Query	SHOW TABLES FROM `phpmyadmin`
		    79 Init DB	phpmyadmin
		    79 Query	SHOW TABLES FROM `phpmyadmin`
		    79 Query	SELECT NULL FROM `pma__table_info` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__table_coords` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__pdf_pages` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__column_info` LIMIT 0
		    79 Query	SHOW COLUMNS FROM `phpmyadmin`.`pma__column_info` WHERE Field IN ('input_transformation', 'input_transformation_options')
		    79 Query	SELECT NULL FROM `pma__users` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__usergroups` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__export_templates` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__designer_settings` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__central_columns` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__savedsearches` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__navigationhiding` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__bookmark` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__userconfig` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__tracking` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__table_uiprefs` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__favorite` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__recent` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__history` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__relation` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__table_info` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__table_coords` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__pdf_pages` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__column_info` LIMIT 0
		    79 Query	SHOW COLUMNS FROM `phpmyadmin`.`pma__column_info` WHERE Field IN ('input_transformation', 'input_transformation_options')
		    79 Query	SELECT NULL FROM `pma__users` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__usergroups` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__export_templates` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__designer_settings` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__central_columns` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__savedsearches` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__navigationhiding` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__bookmark` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__userconfig` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__tracking` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__table_uiprefs` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__favorite` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__recent` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__history` LIMIT 0
		    79 Query	SELECT NULL FROM `pma__relation` LIMIT 0
		    79 Query	SELECT `tables` FROM `phpmyadmin`.`pma__favorite` WHERE `username` = 'root'
		    79 Query	SELECT `tables` FROM `phpmyadmin`.`pma__recent` WHERE `username` = 'root'
		    80 Query	SELECT CURRENT_USER()
		    80 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`, (SELECT DB_first_level FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t ORDER BY DB_first_level ASC LIMIT 0, 100) t2 WHERE TRUE AND 1 = LOCATE(CONCAT(DB_first_level, '_'), CONCAT(SCHEMA_NAME, '_')) ORDER BY SCHEMA_NAME ASC
		    79 Query	SELECT `db_name`, COUNT(*) AS `count` FROM `phpmyadmin`.`pma__navigationhiding` WHERE `username`='root' GROUP BY `db_name`
		    79 Query	SELECT `item_name` FROM `phpmyadmin`.`pma__navigationhiding` WHERE `username`='root' AND `item_type`='group' AND `db_name`='catmarketing'
		    80 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='catmarketing' AND `TABLE_TYPE` IN('BASE TABLE', 'SYSTEM VERSIONED')
		    80 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='catmarketing' AND `TABLE_TYPE` NOT IN('BASE TABLE', 'SYSTEM VERSIONED')
		    80 Query	SELECT @@lower_case_table_names
		    80 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`ROUTINES` WHERE `ROUTINE_SCHEMA` ='catmarketing' AND `ROUTINE_TYPE`='FUNCTION'
		    80 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`ROUTINES` WHERE `ROUTINE_SCHEMA` ='catmarketing'AND `ROUTINE_TYPE`='PROCEDURE'
		    80 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`EVENTS` WHERE `EVENT_SCHEMA` ='catmarketing'
		    80 Query	SELECT `TABLE_NAME` AS `name` FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='catmarketing' AND `TABLE_TYPE` IN('BASE TABLE', 'SYSTEM VERSIONED') ORDER BY `TABLE_NAME` ASC LIMIT 0, 50
		    79 Query	SELECT `item_name` FROM `phpmyadmin`.`pma__navigationhiding` WHERE `username`='root' AND `item_type`='table' AND `db_name`='catmarketing'
		    80 Query	SELECT COUNT(*) FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t
		    80 Query	SELECT COUNT(*) FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t
		    80 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='catmarketing' AND `TABLE_TYPE` IN('BASE TABLE', 'SYSTEM VERSIONED')
		    80 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='catmarketing' AND `TABLE_TYPE` IN('BASE TABLE', 'SYSTEM VERSIONED')
		    80 Query	SELECT 1 FROM mysql.user LIMIT 1
		    80 Query	SELECT 1 FROM (SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`COLUMN_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`TABLE_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`SCHEMA_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES`) t WHERE `IS_GRANTABLE` = 'YES' AND '''root''@''localhost''' LIKE `GRANTEE` LIMIT 1
		    80 Quit	
		    79 Quit	
241213 15:13:40	    81 Connect	pma@localhost as anonymous on 
		    82 Connect	root@localhost as anonymous on 
		    82 Query	SELECT @@version, @@version_comment
		    82 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    82 Query	SET lc_messages = 'en_GB'
		    81 Query	SHOW TABLES FROM `phpmyadmin`
		    81 Init DB	phpmyadmin
		    81 Query	SHOW TABLES FROM `phpmyadmin`
		    81 Query	SELECT NULL FROM `pma__table_info` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__table_coords` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__pdf_pages` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__column_info` LIMIT 0
		    81 Query	SHOW COLUMNS FROM `phpmyadmin`.`pma__column_info` WHERE Field IN ('input_transformation', 'input_transformation_options')
		    81 Query	SELECT NULL FROM `pma__users` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__usergroups` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__export_templates` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__designer_settings` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__central_columns` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__savedsearches` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__navigationhiding` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__bookmark` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__userconfig` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__tracking` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__table_uiprefs` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__favorite` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__recent` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__history` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__relation` LIMIT 0
		    81 Query	SELECT `tables` FROM `phpmyadmin`.`pma__favorite` WHERE `username` = 'root'
		    81 Query	SELECT `tables` FROM `phpmyadmin`.`pma__recent` WHERE `username` = 'root'
		    81 Query	SELECT `config_data`, UNIX_TIMESTAMP(`timevalue`) ts FROM `phpmyadmin`.`pma__userconfig` WHERE `username` = 'root'
		    82 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    81 Query	SHOW TABLES FROM `phpmyadmin`
		    81 Init DB	phpmyadmin
		    81 Query	SHOW TABLES FROM `phpmyadmin`
		    81 Init DB	phpmyadmin
		    81 Query	SHOW TABLES FROM `phpmyadmin`
		    81 Query	SELECT NULL FROM `pma__table_info` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__table_coords` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__pdf_pages` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__column_info` LIMIT 0
		    81 Query	SHOW COLUMNS FROM `phpmyadmin`.`pma__column_info` WHERE Field IN ('input_transformation', 'input_transformation_options')
		    81 Query	SELECT NULL FROM `pma__users` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__usergroups` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__export_templates` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__designer_settings` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__central_columns` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__savedsearches` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__navigationhiding` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__bookmark` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__userconfig` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__tracking` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__table_uiprefs` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__favorite` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__recent` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__history` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__relation` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__table_info` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__table_coords` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__pdf_pages` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__column_info` LIMIT 0
		    81 Query	SHOW COLUMNS FROM `phpmyadmin`.`pma__column_info` WHERE Field IN ('input_transformation', 'input_transformation_options')
		    81 Query	SELECT NULL FROM `pma__users` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__usergroups` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__export_templates` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__designer_settings` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__central_columns` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__savedsearches` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__navigationhiding` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__bookmark` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__userconfig` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__tracking` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__table_uiprefs` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__favorite` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__recent` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__history` LIMIT 0
		    81 Query	SELECT NULL FROM `pma__relation` LIMIT 0
		    81 Query	SELECT `tables` FROM `phpmyadmin`.`pma__favorite` WHERE `username` = 'root'
		    81 Query	SELECT `tables` FROM `phpmyadmin`.`pma__recent` WHERE `username` = 'root'
		    82 Query	SHOW TABLES FROM `catmarketing`
		    82 Query	SHOW  COLUMNS FROM `catmarketing`.`assign_task`
		    82 Query	SHOW INDEXES FROM `catmarketing`.`assign_task`
